workerid,filler,stimulus,topic,prosody,adj_1,adj_2,adj_1_pole,not_paid_attention,num_plays,time,agree,like,friendly,happy,open_answer
1,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,17712,0.49,0.29,0.77,0.52,
1,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,12209,0.49,0.49,0.5,0.57,
1,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,11386,0.38,0.2,0.26,0.85,
2,False,cake_neg,cake,contrastive,good,good,pos,False,1,9568,0.71,0.78,0.55,0.59,
2,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,11249,0.42,0.52,0.3,0.69,
2,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,10850,0.45,0.52,0.33,0.72,
3,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,44392,0.56,0.7,0.41,0.5,tired
3,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,25993,0.55,0.39,0.46,0.39,apprehensive
3,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,39968,0.76,0.42,0.7,0.87,questioning
4,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,19120,0.66,0.82,0.58,0.24,confused
4,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,28097,0.69,0.24,0.61,0.22,talkative
4,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,2,20501,0.63,0.74,0.41,0.13,questioning
5,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,47816,0.47,0.54,0.38,0.31,"speaker 2 thinks it was cozy but could have been better, she feels slight disagreement with speaker1"
5,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,72624,0.48,0.61,0.55,0.43,speaker 2 thinks it was cute but it could have been better.  She mildly disagrees that it was as cute as speaker 1 thinks it is
5,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,45633,0.81,0.89,0.51,0.6,speaker 2 wants to confirm that the theater was dreary and feels curious
6,False,cake_neg,cake,contrastive,good,good,pos,False,2,57612,0.32,0.14,0.5,0.21,She thought the cake was only okay but not good.
6,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,71615,0.36,0.5,0.38,0,She thought speaker 1 was wrong
6,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,3,97245,0.86,1,0.79,1,She felt very certain that the scarf was cute.
7,False,cake_neg,cake,contrastive,good,good,pos,False,2,66192,0.58,0.46,0.71,0.33,She sounds a bit tense.
7,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,3,61191,0.72,1,1,1,Sounds a bit tired to me.
7,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,39201,0.5,0.61,0.49,0.49,She sounds surprised.
8,False,cake_neg,cake,contrastive,good,good,pos,False,1,18361,0.57,0.67,0.89,0.66,
8,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,17245,0.47,0.42,0.6,0.37,
8,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,12625,0.14,0.12,0.57,0.96,
9,False,cake_neg,cake,contrastive,good,good,pos,False,1,30180,0.5,0.19,0.36,0.79,Speaker 2 actually hates the cake and is actually confused as to why speaker 1 thinks the cake is good.
9,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,26490,0.7,1,1,1,Speaker 2 liked the restaurant a lot and agrees with speaker 1.
9,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,45981,0.48,0.48,0.47,0.63,"Speaker 2 is confused, they don&quotechart know if the scarf is cute but likes speaker 1 so forces them self to agree with speaker 1."
10,False,cake_neg,cake,contrastive,good,good,pos,False,1,10223,0.53,0.7,0.66,0.66,
10,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,16569,0.58,0.74,0.71,0.71,
10,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,10719,0.68,0.54,0.62,0.64,
11,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,24412,0.52,0.27,0.29,0.29,Speaker 2 feels conflicted.
11,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,22069,0.94,1,0.99,1,Speaker 2 feels content.
11,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,15472,0.48,0.48,0.5,0.48,Speaker 2 feels conflicted.
12,False,cake_neg,cake,contrastive,good,good,pos,False,1,20905,0.61,0.51,0.77,0.56,I don&quotechart think she means it.
12,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,16267,0.2,0.4,0.58,0.61,She has more to say.
12,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,20403,0.71,0.62,0.71,0.5,I think she might have a little more to say.
13,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,24307,0.69,0.8,0.05,0.73,doesn&quotechart understand how the ice cream was bad
13,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,27859,0.4,0.69,0.27,0.39,a little annoyed or offended at the judgement
13,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,36664,0.57,0.15,0.08,0.59,"I don&quotechart know, but there&quotechars an implied ""but"" at the end of ""cozy"""
14,False,movie_neg,movie,contrastive,boring,boring,neg,False,3,48321,0.47,0.35,0.45,0.48,She doesn&quotechart understand why he thought it was boring.
14,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,3,57023,0.71,0.38,0.44,0.67,She&quotechars annoyed by speaker 1 for some reason.
14,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,3,88619,0.44,0.67,0.63,0.5,She thinks speaker 1 is complaining too much.
15,False,cake_neg,cake,contrastive,good,good,pos,False,1,12551,0.48,1,0.85,0.84,Not sure
15,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,24632,0.5,0.31,0.5,0.7,Curious as to why speaker 1 thought it was boring.
15,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,15663,0.6,0.83,0.89,0.83,Not sure
16,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,50473,0.1,0.76,0.93,0.72,"Again, the but. It was bad but something positive about it."
16,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,71337,0.36,0.67,0.82,0.68,"There is something else, like a but. The movie was boring but...something positive."
16,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,69971,0.42,0.69,0.9,0.61,I&quotecharm thinking she&quotechars thinking the restaurant was cozy but not very good.
17,False,cake_neg,cake,contrastive,good,good,pos,False,2,102949,0.49,0.49,0.51,0.49,No idea.
17,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,27998,0.18,0.19,0.5,0.5,No idea.
17,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,24104,0.48,0.36,0.5,0.5,Questioning.
19,False,cake_neg,cake,contrastive,good,good,pos,False,1,31361,0.73,0.62,0.9,0.81,She seems to have a little doubt in her thoughts about the cake.
19,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,51773,0.21,0.62,0.82,0.67,She thinks the ice cream wasn&quotechart too good but doesn&quotechart think it was horrible.
19,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,52629,0.6,0.59,0.69,0.66,"While she thinks the restaurant was cozy, she seems to have some doubt about it."
20,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,24895,0.2,0.75,0.37,0.62,They had other issues with the restaurant.
20,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,22651,0.61,0.64,0.65,0.79,They have some other issues with the scarf.
20,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,2,29078,0.76,0.23,0.62,0.83,They enjoyed the theatre.
21,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,14911,0.35,0.33,0.61,0.4,
21,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,16373,0.46,0.34,0.34,0.31,
21,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,15508,0.37,0.32,0.2,0.52,
22,False,cake_neg,cake,contrastive,good,good,pos,False,1,23746,0.9,0.77,0.82,0.75,indifferent
22,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,21526,0.99,0.79,0,0.08,irritation
22,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,17980,0.98,0.92,0.92,0.92,questioning
23,False,cake_neg,cake,contrastive,good,good,pos,False,2,187904,0.58,0.53,0.52,0.43,no idea
23,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,2,182396,0.27,0.48,0.49,0.32,less than impressed with thr scarf
23,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,32430,0.63,0.58,0.53,0.31,they wonder why the first person feels the way they do
24,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,15863,0.39,0.39,0.22,0.59,is uncertain
24,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,17922,0.32,0.35,0.29,0.3,tries to mask feelings
24,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,19008,0.49,0.45,0.21,0.68,Surprised
25,False,cake_neg,cake,contrastive,good,good,pos,False,2,65016,0.7,0.68,0.65,0.71,Speaker 2 is agreeable to the statement of speaker 1.
25,False,movie_neg,movie,contrastive,boring,boring,neg,False,3,86501,0.4,0.71,0.42,0.09,Speaker 2 thinks speaker 1 is correct.
25,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,33369,0.43,0.51,0.57,0.55,Speaker 2 doesn&quotechart like the scarf as much as speaker 1.
27,False,movie_neg,movie,contrastive,boring,boring,neg,False,2,20752,0.62,0.54,0.48,0.73,Bored
27,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,24950,0.54,0.53,0.55,0.6,I think she might not like it as much as her friend
27,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,17570,0.63,0.55,0.57,0.55,Contentment
28,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,39800,0.58,0.37,0.36,0.56,"They agree, but only partially, and want to clarify/soften their opinion. "
28,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,139015,0.61,0.52,0.72,0.62,"They partially agree, but they feel other restaurants have more of the trait (""coziness""). "
28,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,32744,0.32,0.56,0.81,0.75,"They regret not buying the scarf or something, maybe?"
29,False,cake_neg,cake,contrastive,good,good,pos,False,2,29892,0.29,0.29,0.13,0.12,cautious
29,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,29359,0.5,0.51,0.58,0.46,ready
29,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,32773,0.28,0.3,0.49,0.38,apprehensive
30,False,movie_neg,movie,contrastive,boring,boring,neg,False,2,84023,0.22,0.8,0.49,0.26,Nothing
30,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,38458,0.66,0.72,0.46,0.61,seemed to trail off like they were going to say but....
30,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,40623,0.35,0.71,0.5,0.26,
1,True,book,book,neutral,crummy,okay,neg,False,1,11530,0.62,0.26,0.8,0.73,
1,True,coffee,coffee,neutral,bitter,strong,neg,False,1,13421,0.5,0.34,0.6,0.85,
1,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,11174,0.52,0.87,0.81,0.81,
1,True,hat,hat,neutral,ugly,really bad,neg,False,1,12598,0.49,0.93,0.2,0.87,
1,True,museum,museum,neutral,classy,pretty classy,pos,False,1,12020,0.63,0.67,0.62,0.9,
1,True,salad,salad,neutral,gross,pretty gross,neg,False,1,14997,0.29,0.71,0.42,0.6,
1,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,13316,0.52,0.58,0.61,0.86,
1,True,song,song,neutral,catchy,really good,pos,False,1,10967,0.58,0.62,0.57,0.56,
2,True,book,book,neutral,crummy,okay,neg,False,2,25609,0.29,0.53,0.45,0.69,
2,True,coffee,coffee,neutral,bitter,strong,neg,False,1,11980,0.6,0.72,0.68,0.6,
2,True,documentary,documentary,neutral,fascinating,very cool,pos,False,3,123853,0.77,0.65,0.82,0.92,
2,True,hat,hat,neutral,ugly,really bad,neg,False,1,10442,0.44,0.6,0.29,0.77,
2,True,museum,museum,neutral,classy,pretty classy,pos,False,1,10935,0.62,0.69,0.68,0.76,
2,True,salad,salad,neutral,gross,pretty gross,neg,False,1,12427,0.4,0.65,0.27,0.87,
2,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,10414,0.66,0.7,0.66,0.8,
2,True,song,song,neutral,catchy,really good,pos,False,1,9882,0.63,0.77,0.7,0.83,
3,True,book,book,neutral,crummy,okay,neg,False,1,28544,0.58,0.14,0.6,0.64,confident
3,True,coffee,coffee,neutral,bitter,strong,neg,False,1,31225,0.69,0.36,0.48,0.59,conflicted
3,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,23408,0.43,0.55,0.55,0.3,bored
3,True,hat,hat,neutral,ugly,really bad,neg,False,1,23800,0.63,0.9,0.06,0.62,disgusted
3,True,museum,museum,neutral,classy,pretty classy,pos,False,1,31912,0.64,0.82,0.67,0.65,agreeable
3,True,salad,salad,neutral,gross,pretty gross,neg,False,1,33216,0.58,0.96,0.03,0.2,low energy
3,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,28526,0.61,0.87,0.78,0.53,satisfied
3,True,song,song,neutral,catchy,really good,pos,False,1,19239,0.56,0.74,0.68,0.43,bored
4,True,book,book,neutral,crummy,okay,neg,False,2,24883,0.42,0.6,0.43,0.31,irritated
4,True,coffee,coffee,neutral,bitter,strong,neg,False,3,44594,0.48,0.78,0.47,0.86,depressed
4,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,16366,0.26,0.25,0.24,0.48,bored
4,True,hat,hat,neutral,ugly,really bad,neg,False,1,15432,0.8,0.18,0.79,0.77,relaxed
4,True,museum,museum,neutral,classy,pretty classy,pos,False,1,20901,0.79,0.8,0.81,0.82,agreeable 
4,True,salad,salad,neutral,gross,pretty gross,neg,False,1,16032,0.63,0.24,0.49,0.85,disgusted
4,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,22905,0.51,0.2,0.41,0.17,sarcastic
4,True,song,song,neutral,catchy,really good,pos,False,1,13872,0.71,0.71,0.7,0.72,content
5,True,book,book,neutral,crummy,okay,neg,False,1,44128,0.55,0.52,0.8,0.16,speaker 2 felt the book wasn&quotechart that bad and she thinks speaker 1 may have judged the book a bit harshly
5,True,coffee,coffee,neutral,bitter,strong,neg,False,1,53903,0.5,0.44,0.57,0.45,speaker 2 may somewhat disagree because she used a different word.  She may feel that the coffee is strong but she still likes it
5,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,44073,0.49,0.62,0.95,0.94,speaker 2 thought the documentary was good and agrees  with speaker 1.  She feels that she liked watching it.
5,True,hat,hat,neutral,ugly,really bad,neg,False,1,44177,0.63,0.58,0.04,0.97,speaker 2 does not like the hat.  she truly feels that the hat looks very bad.
5,True,museum,museum,neutral,classy,pretty classy,pos,False,1,50704,0.74,0.78,0.85,0.64,speaker 2 thinks it is classy but not as much as speaker 1 does.  She thinks she has seen more classy places but it could be described that way.
5,True,salad,salad,neutral,gross,pretty gross,neg,False,1,41231,0.5,0.58,0.22,0.88,speaker 2 thinks the salad was gross but perhaps not quite as bad as speaker 1 thought it was.
5,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,58351,0.32,0.42,0.34,0.36,I can&quotechart tell if she&quotechars being sarcastic or not.  She seems to half heartedly agree with speaker 1
5,True,song,song,neutral,catchy,really good,pos,False,1,48040,0.56,0.48,0.66,0.83,speaker 2 things the song is OK and wants to agree with speaker 1 even though she might not actually like as much.
6,True,book,book,neutral,crummy,okay,neg,False,3,66905,0.59,0.66,0.75,0.17,She didn&quotechart think the book was that bad and speaker 1 was wrong.
6,True,coffee,coffee,neutral,bitter,strong,neg,False,1,43479,0.19,0,0.6,1,She thought about the strong aftertaste in her mouth.
6,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,58626,0.7,1,0.78,1,She thought the documentary was excellent.
6,True,hat,hat,neutral,ugly,really bad,neg,False,1,50578,0,0,0.53,1,She thought the hat was hideous
6,True,museum,museum,neutral,classy,pretty classy,pos,False,1,55026,1,1,0.89,1,She thought going to the museum is a good way to spend her time.
6,True,salad,salad,neutral,gross,pretty gross,neg,False,1,59492,0.26,0,0.77,1,The salad grossed her out because it tasted bad.
6,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,53175,0.79,1,0.81,1,She thought the smoothie was good.
6,True,song,song,neutral,catchy,really good,pos,False,1,47925,0.83,1,0.75,1,She thought the song was good too.
7,True,book,book,neutral,crummy,okay,neg,False,2,51408,0.34,0.55,0.32,0.13,"She sounds exhausted, really bored, or half asleep."
7,True,coffee,coffee,neutral,bitter,strong,neg,False,1,51250,0.48,0.68,0.49,0.31,She sounds annoyed.
7,True,documentary,documentary,neutral,fascinating,very cool,pos,False,2,84097,0.17,0.26,0.49,0.27,She sounds bored out of her mind or possibly depressed.
7,True,hat,hat,neutral,ugly,really bad,neg,False,2,67608,0.5,0.12,0.56,0.87,She sounds bored.
7,True,museum,museum,neutral,classy,pretty classy,pos,False,1,35999,0.22,0.48,0.21,0.48,She sounds mad.
7,True,salad,salad,neutral,gross,pretty gross,neg,False,1,46696,0.51,0.18,0.58,0.87,She sounds a bit let down.
7,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,27375,0.59,0.85,0.67,1,She sounds satisfied.
7,True,song,song,neutral,catchy,really good,pos,False,1,31560,0.36,0.44,0.31,0.44,She sounds a bit annoyed.
8,True,book,book,neutral,crummy,okay,neg,False,3,24690,0.47,0.5,0.54,0.03,
8,True,coffee,coffee,neutral,bitter,strong,neg,False,1,21641,0.09,0.11,0.89,0.91,
8,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,16108,0.48,0.43,0.53,0.44,
8,True,hat,hat,neutral,ugly,really bad,neg,False,1,14987,0.11,0.13,0.79,0.9,
8,True,museum,museum,neutral,classy,pretty classy,pos,False,2,16511,0.51,0.72,0.75,0.78,
8,True,salad,salad,neutral,gross,pretty gross,neg,False,1,14065,0.17,0.17,0.8,0.88,
8,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,25234,0.55,0.57,0.75,0.74,
8,True,song,song,neutral,catchy,really good,pos,False,1,11781,0.71,0.7,0.78,0.82,
9,True,book,book,neutral,crummy,okay,neg,False,1,31190,0.61,0.48,0.51,0.87,Speaker 2 thinks the book is okay but is too meek to speak her true feelings.
9,True,coffee,coffee,neutral,bitter,strong,neg,False,1,40138,0.52,0.72,0.66,0.54,Speaker 2 clearly likes strong coffee but doesn&quotechart think it&quotechars very bitter.
9,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,34380,0.48,0.61,0.56,0.82,Speaker 2 doesn&quotechart want to seem like an asshole for hating the documentary. They are fighting against their true feelings.
9,True,hat,hat,neutral,ugly,really bad,neg,False,1,33569,0.67,0,1,1,Speaker 2 hates the hat as much as speaker 1.
9,True,museum,museum,neutral,classy,pretty classy,pos,False,1,19233,1,1,1,1,Speaker 2 genuinely thinks the museum is classy.
9,True,salad,salad,neutral,gross,pretty gross,neg,False,1,24806,0.6,0,1,1,Speaker 2 really doesn&quotechart like the salad.
9,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,26853,0.24,0,0,0,sarcastic and mean spirited. 
9,True,song,song,neutral,catchy,really good,pos,False,1,23662,0.6,1,1,0.83,Speaker 2 is trying to add something to the conversation.
10,True,book,book,neutral,crummy,okay,neg,False,1,12344,0.65,0.41,0.55,0.33,
10,True,coffee,coffee,neutral,bitter,strong,neg,False,1,12767,0.64,0.75,0.57,0.24,
10,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,13751,0.58,0.71,0.66,0.72,
10,True,hat,hat,neutral,ugly,really bad,neg,False,1,12201,0.62,0.5,0.58,0.58,
10,True,museum,museum,neutral,classy,pretty classy,pos,False,1,9759,0.6,0.7,0.72,0.73,
10,True,salad,salad,neutral,gross,pretty gross,neg,False,1,11200,0.66,0.79,0.62,0.67,
10,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,10312,0.61,0.75,0.73,0.73,
10,True,song,song,neutral,catchy,really good,pos,False,1,9184,0.57,0.7,0.69,0.72,
11,True,book,book,neutral,crummy,okay,neg,False,3,30144,0.46,0.1,0.61,0.61,Speaker 2 feels a bit let down by the book.
11,True,coffee,coffee,neutral,bitter,strong,neg,False,1,20404,0.59,0.53,0.38,0.33,Speaker 2 feels conflicted about the coffee.
11,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,28816,0.61,0.87,0.87,0.88,Speaker 2 feels just just OK about the documentary.
11,True,hat,hat,neutral,ugly,really bad,neg,False,1,14640,0.64,1,0,0,Speaker 2 feels disappointed.
11,True,museum,museum,neutral,classy,pretty classy,pos,False,1,37423,0.62,0.64,0.68,0.65,Speaker 2 feels content.
11,True,salad,salad,neutral,gross,pretty gross,neg,False,2,40934,0.79,1,0,0,Speaker 2 feels upset.
11,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,15166,0.85,1,0.99,0.99,Speaker 2 feels contentment.
11,True,song,song,neutral,catchy,really good,pos,False,1,14284,0.97,0.98,0.97,0.97,Speaker 2 feels content.
12,True,book,book,neutral,crummy,okay,neg,False,1,21870,0.4,0.55,0.58,0.48,She kind of likes the book. 
12,True,coffee,coffee,neutral,bitter,strong,neg,False,1,32390,0.22,0.4,0.49,0.54,She kind of likes it
12,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,15798,0.78,0.88,0.84,0.87,That&quotechars it.
12,True,hat,hat,neutral,ugly,really bad,neg,False,1,17652,0.18,0.57,0.57,0.87,IT&quotechars a bad hat
12,True,museum,museum,neutral,classy,pretty classy,pos,False,1,19586,0.86,0.81,0.88,0.95,She likes it too.
12,True,salad,salad,neutral,gross,pretty gross,neg,False,1,18699,0.03,0.32,0.62,0.19,Glad they agree
12,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,18063,0.91,0.95,0.89,0.92,She enjoyed it too.
12,True,song,song,neutral,catchy,really good,pos,False,2,41438,0.81,0.86,0.83,0.83,They both like the song.
13,True,book,book,neutral,crummy,okay,neg,False,1,31000,0.22,0.38,0.3,0.41,no strong thoughts about the book
13,True,coffee,coffee,neutral,bitter,strong,neg,False,1,45340,0.52,0.52,0.34,0.71,"""strong"" feels like a diplomatic way to sidestep thoughts on whether or not the coffee is ""bitter"", which is a more negative word"
13,True,documentary,documentary,neutral,fascinating,very cool,pos,False,1,34205,0.46,0.43,0.55,0.49,"likes the documentary, but not enthusiastic about it"
13,True,hat,hat,neutral,ugly,really bad,neg,False,1,37054,0.48,0.16,0.72,0.55,do not get the hat
13,True,museum,museum,neutral,classy,pretty classy,pos,False,1,29097,0.49,0.51,0.46,0.5,"""... but I&quotecharve been to classier"""
13,True,salad,salad,neutral,gross,pretty gross,neg,False,1,50831,0.46,0.33,0.64,0.62,happy to agree the salad was gross
13,True,smoothie,smoothie,neutral,refreshing,great,pos,False,1,37749,0.22,0.24,0.34,0.38,n/a
13,True,song,song,neutral,catchy,really good,pos,False,1,24903,0.32,0.3,0.28,0.45,"""catchy"" isn&quotechart how she&quotechard describe the song"
14,True,book,book,neutral,crummy,okay,neg,False,2,80378,0.25,0.66,0.59,0.68,She wants to be alone right now.
14,True,coffee,coffee,neutral,bitter,strong,neg,False,1,40076,0.35,0.67,0.66,0.6,She thinks that the coffee is too strong.
14,True,documentary,documentary,neutral,fascinating,very cool,pos,False,2,30122,0.74,0.6,0.59,0.73,She is tired.
